Gene_ID,C11,C15,C19,C23,N11,N15,N19,N23
NM_181719,1702,3003,3431,2815,2849,3653,2239,3248
NM_001122819,35,53,49,105,149,77,50,174
NM_020816,35,53,49,105,149,77,50,174
NM_001039500,70,14,6,16,21,20,19,23
NM_001287212,35,53,49,105,149,77,50,174
NR_110078,22,29,32,31,54,31,36,39
NM_032236,1405,1374,1723,1714,1165,955,974,1097
NM_001113347,2926,7681,6229,7536,7092,8720,5537,6886
NM_005529,4478,11148,11130,12539,36782,21187,21713,33970
NM_002885,3321,5295,5033,3514,3304,2785,2026,1646
NM_001397,2972,7860,6384,7681,7230,9021,5719,7072
NM_001113349,2972,7843,6371,7672,7220,9000,5707,7063
NM_001113348,3138,8145,6676,8013,7586,9333,5947,7399
NM_001145658,3299,5249,5011,3506,3272,2762,2016,1623
NM_001291860,4478,11148,11130,12539,36782,21187,21713,33970
NM_001145657,3321,5295,5033,3514,3304,2785,2026,1646
NM_001032730,346,471,511,485,395,459,327,407
NM_004442,192,340,279,367,218,150,391,312
NM_001309193,192,340,279,367,218,150,391,312
NM_017449,192,340,279,367,218,150,391,312
NM_001309192,192,340,279,367,218,150,391,312
NM_001143778,1280,2577,1740,3006,2959,2161,1614,3200
NM_005826,1824,2041,2376,2238,1697,1450,1241,1291
NM_001102399,1824,2041,2376,2238,1697,1450,1241,1291
NM_001102398,1824,2041,2376,2238,1697,1450,1241,1291
NM_001102397,1824,2041,2376,2238,1697,1450,1241,1291
NM_001297620,1824,2041,2376,2238,1697,1450,1241,1291
NM_017707,1280,2577,1740,3006,2959,2161,1614,3200
NM_001297621,1824,2041,2376,2238,1697,1450,1241,1291
NM_001297622,1824,2041,2376,2238,1697,1450,1241,1291
NM_000147,1004,2199,1285,1724,897,1999,884,1032
NM_001251984,376,1366,961,484,624,3667,919,808
NM_001251983,373,1348,949,482,612,3607,906,801
NM_001251981,373,1348,949,482,612,3607,906,801
NM_001199014,141,310,265,239,256,473,254,293
NM_001199013,141,310,265,239,256,473,254,293
NM_001199012,144,313,269,241,263,487,256,295
NM_013943,2407,1446,1362,1798,1990,1055,1720,1670
NM_013441,373,1348,949,482,612,3607,906,801
NM_001251977,373,1348,949,482,612,3607,906,801
NM_001251978,371,1316,934,475,592,3508,886,789
NM_001251979,376,1366,961,484,624,3667,919,808
NM_178122,141,310,265,239,256,473,254,293
NM_004350,107,288,401,302,114,106,470,118
NM_001031680,121,309,446,340,129,112,493,134
NM_016124,105,207,431,700,227,208,331,732
NM_020379,912,2737,2037,4060,2355,1109,1485,2885
NR_024498,288,472,584,446,519,402,427,594
NM_001282872,105,207,431,700,227,208,331,732
NM_001282871,105,207,431,700,227,208,331,732
NM_001282870,105,207,431,700,227,208,331,732
NM_001289010,912,2737,2037,4060,2355,1109,1485,2885
NM_019557,1385,1937,2376,2056,2040,1639,1725,2358
NM_001282867,105,207,431,700,227,208,331,732
NM_001282868,105,207,431,700,227,208,331,732
NM_001282869,105,207,431,700,227,208,331,732
NM_015627,1228,2529,2225,2342,2217,2217,1450,2316
NM_001099627,1389,1955,2404,2077,2073,1681,1749,2394
NM_001099626,1378,1894,2321,2042,1993,1595,1673,2288
NM_001099625,1389,1955,2404,2077,2073,1681,1749,2394
NM_001127691,105,207,431,700,227,208,331,732
NM_006015,3214,5680,5759,5571,4866,5168,3909,4275
NM_139135,3214,5680,5759,5571,4866,5168,3909,4275
NR_046474,692,1679,1475,1668,2477,1977,1299,2610
NM_005517,1496,1925,1939,2046,1527,1564,1321,1446
NM_001039775,46,45,62,35,47,23,43,9
NM_001013642,139,144,151,131,301,129,159,209
NM_003047,692,1679,1475,1668,2477,1977,1299,2610
NM_005281,14,13,25,10,10,14,28,16
NM_001164722,134,197,219,284,184,110,163,128
NM_001164721,134,197,219,284,184,110,163,128
NR_104214,203,301,285,387,180,173,124,170
NM_001990,794,1166,1180,1510,790,668,514,663
NM_177424,949,986,1039,1113,696,746,756,720
NM_001282562,794,1166,1180,1510,790,668,514,663
NM_001282561,794,1166,1180,1510,790,668,514,663
NM_001282560,248,382,335,473,211,207,156,187
NM_001166005,4132,7238,7834,5903,4728,3352,3987,4204
NM_006582,225,346,384,330,241,221,264,227
NM_004437,4132,7238,7834,5903,4728,3352,3987,4204
NM_024482,225,346,384,330,241,221,264,227
NM_001048183,1328,1944,2066,1992,1353,1652,1147,1227
NM_001166007,4132,7238,7834,5903,4728,3352,3987,4204
NM_001166006,2137,4662,5453,3462,2957,2269,2705,3038
NR_003109,303,469,521,546,435,386,396,339
NM_203343,4132,7238,7834,5903,4728,3352,3987,4204
NM_203342,4132,7238,7834,5903,4728,3352,3987,4204
NM_016011,504,660,946,804,600,549,447,545
NM_000911,23,146,26,18,14,20,13,5
NM_023923,1288,1879,1978,1913,1313,1606,1124,1189
NM_017846,303,469,521,546,435,386,396,339
NM_001024732,504,660,946,804,600,549,447,545
NR_110790,0,2,0,0,1,1,1,0
NM_001282574,511,807,839,870,658,586,510,756
NM_001282573,511,807,839,870,658,586,510,756
NM_001282572,511,807,839,870,658,586,510,756
NM_001282571,511,807,839,870,658,586,510,756
NM_001282570,511,807,839,870,658,586,510,756
NM_001282569,511,807,839,870,658,586,510,756
NM_001282568,511,807,839,870,658,586,510,756
NM_001282567,511,807,839,870,658,586,510,756
NM_001282566,511,807,839,870,658,586,510,756
NM_014676,2732,3870,3607,3588,3032,2768,2318,2845
NM_016505,511,807,839,870,658,586,510,756
NM_024522,643,680,933,1055,425,169,234,72
NM_001020658,2732,3870,3607,3588,3032,2768,2318,2845
NM_012316,1539,2366,2321,2449,2023,2040,1522,1940
NM_001143889,2058,3336,3184,3478,2661,2771,1856,2839
NM_001143890,2058,3336,3184,3478,2661,2771,1856,2839
NR_125352,2058,3336,3184,3478,2661,2771,1856,2839
NM_018045,2058,3336,3184,3478,2661,2771,1856,2839
NM_001300958,2058,3336,3184,3478,2661,2771,1856,2839
NM_001143888,2058,3336,3184,3478,2661,2771,1856,2839
NM_001199199,2437,2273,2854,2459,1805,1658,1418,1417
NM_020888,3970,10089,8321,6800,8549,11549,5889,5951
NM_001198972,3691,9576,7836,6255,8207,11149,5702,5677
NM_001625,1293,1218,1432,1243,921,875,757,726
NM_013411,2437,2273,2854,2459,1805,1658,1418,1417
NM_033504,511,1250,1315,1263,1454,2332,1207,1729
NR_037591,2437,2273,2854,2459,1805,1658,1418,1417
NM_152493,1208,1726,2284,2291,2465,1624,1589,1885
NM_001198973,3691,9576,7836,6255,8207,11149,5702,5677
NM_178547,530,584,622,648,397,381,345,354
NR_037592,1293,1218,1432,1243,921,875,757,726
NM_018207,554,1207,911,1021,724,938,669,740
NM_001308141,530,584,622,648,397,381,345,354
NM_001308139,530,584,622,648,397,381,345,354
NM_001308140,530,584,622,648,397,381,345,354
NM_001308136,530,584,622,648,397,381,345,354
NM_001308135,530,584,622,648,397,381,345,354
NM_001308137,530,584,622,648,397,381,345,354
NM_001308138,530,584,622,648,397,381,345,354
NM_032884,0,4,3,2,6,12,5,8
NM_001134734,0,4,3,0,6,12,5,8
NM_024874,4336,8723,7575,5312,4133,5574,4011,4488
